"","week","cases_obs","cases_sim","cumule_obs","cumule_sim","simu"
"1",0,3,8.93587009229569,3,8.93587009229569,"p_beta_theta"
"2",1,6,14.2234162667333,9,23.159286359029,"p_beta_theta"
"3",2,4,22.2779885442227,13,45.4372749032517,"p_beta_theta"
"4",3,19,34.0320921482289,32,79.4693670514805,"p_beta_theta"
"5",4,59,50.0646190936457,91,129.533986145126,"p_beta_theta"
"6",5,106,69.7494924371336,197,199.28347858226,"p_beta_theta"
"7",6,65,90.2496055566119,262,289.533084138872,"p_beta_theta"
"8",7,74,106.431372009877,336,395.964456148748,"p_beta_theta"
"9",8,170,112.927750399321,506,508.892206548069,"p_beta_theta"
"10",9,176,107.528588495109,682,616.420795043178,"p_beta_theta"
"11",10,81,92.6791016862051,763,709.099896729383,"p_beta_theta"
"12",11,71,73.5064380355677,834,782.606334764951,"p_beta_theta"
"13",12,34,54.6871517417041,868,837.293486506655,"p_beta_theta"
"14",13,35,38.8481224347402,903,876.141608941396,"p_beta_theta"
"15",14,14,26.7290420536441,917,902.87065099504,"p_beta_theta"
"16",15,6,18.0007855119365,923,920.871436506976,"p_beta_theta"
"17",16,1,11.9527933751738,924,932.82422988215,"p_beta_theta"
"18",17,0,7.86411763979903,924,940.688347521949,"p_beta_theta"
"19",18,0,5.14324853983369,924,945.831596061783,"p_beta_theta"
"20",19,2,3.35078727497573,926,949.182383336758,"p_beta_theta"
"21",20,2,2.17756487845313,928,951.359948215211,"p_beta_theta"
"22",0,3,7.76401495439456,3,7.76401495439456,"p_beta"
"23",1,6,9.46821124799288,9,17.2322262023874,"p_beta"
"24",2,4,11.5317237358049,13,28.7639499381923,"p_beta"
"25",3,19,14.0231174134248,32,42.7870673516171,"p_beta"
"26",4,59,17.0205444983884,91,59.8076118500055,"p_beta"
"27",5,106,20.6113316586581,197,80.4189435086636,"p_beta"
"28",6,65,24.8904830194461,262,105.30942652811,"p_beta"
"29",7,74,29.9575761210696,336,135.267002649179,"p_beta"
"30",8,170,35.9114122097181,506,171.178414858897,"p_beta"
"31",9,176,42.8417157797871,682,214.020130638684,"p_beta"
"32",10,81,50.8172312139448,763,264.837361852629,"p_beta"
"33",11,71,59.8698386290435,834,324.707200481673,"p_beta"
"34",12,34,69.9749300367732,868,394.682130518446,"p_beta"
"35",13,35,81.0293577752884,903,475.711488293734,"p_beta"
"36",14,14,92.8298025991107,917,568.541290892845,"p_beta"
"37",15,6,105.056210497636,923,673.597501390481,"p_beta"
"38",16,1,117.266490156706,924,790.863991547187,"p_beta"
"39",17,0,128.909077289683,924,919.77306883687,"p_beta"
"40",18,0,139.358258766073,924,1059.13132760294,"p_beta"
"41",19,2,147.97270530323,926,1207.10403290617,"p_beta"
"42",20,2,154.17097132899,928,1361.27500423516,"p_beta"
"43",0,3,7.86457420043092,3,7.86457420043092,"p_theta"
"44",1,6,9.62951746548407,9,17.494091665915,"p_theta"
"45",2,4,11.7705735841434,13,29.2646652500584,"p_theta"
"46",3,19,14.3579175862576,32,43.622582836316,"p_theta"
"47",4,59,17.4698539480223,91,61.0924367843383,"p_theta"
"48",5,106,21.1911687797629,197,82.2836055641012,"p_theta"
"49",6,65,25.6098253645341,262,107.893430928635,"p_theta"
"50",7,74,30.8113562160624,336,138.704787144698,"p_theta"
"51",8,170,36.8702604075493,506,175.575047552247,"p_theta"
"52",9,176,43.8378187576459,682,219.412866309893,"p_theta"
"53",10,81,51.7261079115622,763,271.138974221455,"p_theta"
"54",11,71,60.4887584563031,834,331.627732677758,"p_theta"
"55",12,34,70.0002525361546,868,401.627985213913,"p_theta"
"56",13,35,80.0372397988979,903,481.665225012811,"p_theta"
"57",14,14,90.2671327959004,917,571.932357808711,"p_theta"
"58",15,6,100.250408383136,923,672.182766191847,"p_theta"
"59",16,1,109.462565889171,924,781.645332081018,"p_theta"
"60",17,0,117.338636838309,924,898.983968919327,"p_theta"
"61",18,0,123.337360658485,924,1022.32132957781,"p_theta"
"62",19,2,127.014969403641,926,1149.33629898145,"p_theta"
"63",20,2,128.092782947559,928,1277.42908192901,"p_theta"
"64",0,3,8.93587009229569,3,8.93587009229569,"beta_theta"
"65",1,6,14.2234162667333,9,23.159286359029,"beta_theta"
"66",2,4,22.2779885442227,13,45.4372749032517,"beta_theta"
"67",3,19,34.0320921482289,32,79.4693670514805,"beta_theta"
"68",4,59,50.0646190936457,91,129.533986145126,"beta_theta"
"69",5,106,69.7494924371336,197,199.28347858226,"beta_theta"
"70",6,65,90.2496055566119,262,289.533084138872,"beta_theta"
"71",7,74,106.431372009877,336,395.964456148748,"beta_theta"
"72",8,170,112.927750399321,506,508.892206548069,"beta_theta"
"73",9,176,107.528588495109,682,616.420795043178,"beta_theta"
"74",10,81,92.6791016862051,763,709.099896729383,"beta_theta"
"75",11,71,73.5064380355677,834,782.606334764951,"beta_theta"
"76",12,34,54.6871517417041,868,837.293486506655,"beta_theta"
"77",13,35,38.8481224347402,903,876.141608941396,"beta_theta"
"78",14,14,26.7290420536441,917,902.87065099504,"beta_theta"
"79",15,6,18.0007855119365,923,920.871436506976,"beta_theta"
"80",16,1,11.9527933751738,924,932.82422988215,"beta_theta"
"81",17,0,7.86411763979903,924,940.688347521949,"beta_theta"
"82",18,0,5.14324853983369,924,945.831596061783,"beta_theta"
"83",19,2,3.35078727497573,926,949.182383336758,"beta_theta"
"84",20,2,2.17756487845313,928,951.359948215211,"beta_theta"
